match_id,data,squadra selezionata,squadra in casa,squadra fuori casa,quota,quota_1,quota_x,quota_2,SC
1394671,17/03/26,fenerbahce,fenerbahce,gaziantep fk,1.29,1.29,5.5,9.0,
1379264,15/03/26,liverpool,liverpool,tottenham,1.31,1.31,5.8,7.6,
1382845,15/03/26,rangers,st mirren,rangers,1.56,5.7,3.95,1.56,
1387924,15/03/26,lyon,le havre,lyon,2.14,3.35,3.3,2.14,
1387929,15/03/26,paris saint germain,paris saint germain,nantes,1.22,1.22,5.8,11.0,
1379265,15/03/26,aston villa,manchester united,aston villa,4.45,1.7,3.85,4.45,
1391091,15/03/26,barcelona,barcelona,sevilla,1.29,1.29,5.5,9.1,
1378147,15/03/26,ac milan,lazio,ac milan,1.84,4.3,3.4,1.84,
1396465,15/03/26,fc porto,fc porto,moreirense,1.21,1.21,5.5,17.5,
1381104,15/03/26,feyenoord,feyenoord,excelsior,1.31,1.31,5.5,8.1,
1396469,15/03/26,sporting cp,sporting cp,tondela,1.15,1.15,7.0,21.0,
1387926,13/03/26,marseille,marseille,auxerre,1.43,1.43,4.4,7.0,
1391089,13/03/26,villarreal,alaves,villarreal,2.2,3.2,3.3,2.2,
1436146,13/03/26,al-ahli jeddah,al-qadisiyah fc,al-ahli jeddah,2.62,2.55,3.35,2.62,
1394662,13/03/26,fenerbahce,fatih karagumruk,fenerbahce,1.39,7.5,4.65,1.39,
1378138,08/03/26,as roma,genoa,as roma,1.9,4.2,3.1,1.96,
1394653,08/03/26,fenerbahce,fenerbahce,samsunspor,1.45,1.44,4.35,6.8,
1396454,08/03/26,benfica,benfica,fc porto,2.0,2.0,3.1,3.95,SI
1387918,08/03/26,lyon,lyon,paris fc,1.7,1.63,3.85,5.1,
1391088,08/03/26,villarreal,villarreal,elche,1.49,1.45,4.35,6.6,
1378142,08/03/26,inter,ac milan,inter,2.34,3.15,3.05,2.34,SI
1384040,08/03/26,dinamo zagreb,hnk hajduk split,dinamo zagreb,2.18,3.1,3.2,2.22,
1387916,08/03/26,lens,lens,metz,1.26,1.27,5.5,10.0,
1381096,08/03/26,feyenoord,nac breda,feyenoord,1.88,3.85,3.75,1.84,
1391080,07/03/26,atletico madrid,atletico madrid,real sociedad,1.66,1.7,3.65,4.85,
1394651,07/03/26,galatasaray,besiktas,galatasaray,2.5,2.48,3.65,2.56,
1381094,07/03/26,ajax,groningen,ajax,2.28,2.9,3.65,2.24,
1436133,07/03/26,al-nassr,al-nassr,neom,1.25,1.25,5.4,11.0,
1388525,07/03/26,borussia dortmund,1. fc koln,borussia dortmund,1.85,3.9,3.75,1.82,
1387922,07/03/26,marseille,toulouse,marseille,2.18,3.1,3.5,2.18,
1396455,07/03/26,sporting cp,sc braga,sporting cp,1.94,3.55,3.4,2.0,
1388526,07/03/26,bayer leverkusen,sc freiburg,bayer leverkusen,2.32,2.88,3.45,2.3,
1391079,07/03/26,barcelona,athletic club,barcelona,1.67,4.45,4.2,1.65,
1381098,07/03/26,psv eindhoven,psv eindhoven,az alkmaar,1.32,1.38,5.25,6.5,
1388524,06/03/26,bayern munich,bayern munich,borussia m'gladbach,1.21,1.21,7.1,9.6,
1391081,06/03/26,real madrid,celta vigo,real madrid,2.26,3.1,3.25,2.26,
1387921,06/03/26,paris saint germain,paris saint germain,monaco,1.35,1.35,5.4,7.1,
1436135,06/03/26,al-hilal saudi fc,al-hilal saudi fc,al najma,1.08,1.08,10.0,23.0,
1436136,06/03/26,al-ahli jeddah,al-ahli jeddah,al-ittihad fc,1.85,1.85,3.75,3.7,
1378143,06/03/26,napoli,napoli,torino,1.55,1.55,3.85,6.0,
1379251,04/03/26,arsenal,brighton,arsenal,1.65,5.1,3.75,1.65,
1379255,04/03/26,manchester city,manchester city,nottingham forest,1.41,1.41,4.5,7.3,
1379249,04/03/26,chelsea,aston villa,chelsea,2.44,2.7,3.45,2.44,SI
1382810,04/03/26,celtic,aberdeen,celtic,1.53,5.3,4.4,1.53,
1388455,04/03/26,bayer leverkusen,hamburger sv,bayer leverkusen,1.9,3.75,3.6,1.9,
1379258,03/03/26,liverpool,wolves,liverpool,1.45,6.0,4.65,1.45,
1396447,02/03/26,benfica,gil vicente,benfica,1.55,5.6,4.0,1.56,
1391076,02/03/26,real madrid,real madrid,getafe,1.33,1.35,4.35,9.8,
1387908,01/03/26,marseille,marseille,lyon,1.93,,,,SI
1378129,01/03/26,as roma,as roma,juventus,2.58,,,,
1394640,01/03/26,fenerbahce,antalyaspor,fenerbahce,1.51,,,,
1381089,01/03/26,feyenoord,twente,feyenoord,2.98,,,,
1384034,01/03/26,dinamo zagreb,dinamo zagreb,hnk gorica,1.28,,,,
1382839,01/03/26,rangers,rangers,celtic,2.14,,,,SI
1381091,01/03/26,ajax,pec zwolle,ajax,1.71,4.33,3.95,1.71,
1379239,01/03/26,arsenal,arsenal,chelsea,1.49,,,,SI
